id,zipcode,seasons_year,price,median_total_price,sale_price,profit
9106000005,98115,spring,1310000.0,1365176.6155531215,1703000.0,393000.0
5101400871,98115,spring,445500.0,506025.465498357,579150.0,133650.0
2359300030,98115,spring,565000.0,331282.8587075575,621500.0,56500.0
2887700560,98115,spring,616500.0,757217.9627601315,801450.0,184950.0
5100401441,98115,spring,495000.0,626161.0076670317,643500.0,148500.0
3265300410,98115,spring,370000.0,782701.2595837896,481000.0,111000.0
7977200995,98115,spring,506000.0,422294.6330777656,556600.0,50600.0
7974200902,98115,spring,637000.0,622520.5366922234,700700.0,63700.0
441000065,98115,spring,653000.0,469620.7557502738,718300.0,65300.0
3213200180,98115,spring,700180.0,556992.0591456735,770198.0000000001,70018.00000000012
1797500530,98115,spring,655100.0,444137.45892661554,720610.0,65510.0
5100402606,98115,spring,680000.0,396811.3362541073,748000.0000000001,68000.00000000012
1868901690,98115,spring,600000.0,742656.0788608982,780000.0,180000.0
9547205660,98115,spring,603000.0,618880.0657174151,783900.0,180900.0
2464400280,98115,spring,710000.0,1037534.2278203723,923000.0,213000.0
5273200060,98115,spring,716528.0,637082.4205914567,788180.8,71652.80000000005
4370700065,98115,spring,907500.0,1037534.2278203723,1179750.0,272250.0
9137101696,98115,spring,605000.0,604318.1818181818,665500.0,60500.0
328000182,98115,spring,613500.0,682952.3548740416,797550.0,184050.0
1566100555,98115,spring,721000.0,830027.3822562979,937300.0,216300.0
5418500800,98115,spring,825000.0,913758.2146768894,1072500.0,247500.0
439000230,98115,spring,805000.0,888274.9178532311,1046500.0,241500.0
8024200677,98115,spring,415000.0,462339.81380065717,539500.0,124500.0
2883200160,98115,spring,595000.0,735375.1369112815,773500.0,178500.0
1566100450,98115,spring,505000.0,404092.27820372395,555500.0,50500.0
9215400105,98115,spring,450000.0,455058.8718510405,585000.0,135000.0
9528100899,98115,spring,827000.0,673487.13033954,909700.0000000001,82700.00000000012
9547202265,98115,spring,990000.0,895555.8598028477,1089000.0,99000.0
5100403882,98115,spring,967000.0,1128546.0021905804,1257100.0,290100.0
7977200720,98115,spring,500000.0,538789.704271632,650000.0,150000.0
7920100025,98115,spring,450000.0,269394.852135816,495000.00000000006,45000.00000000006
3735900325,98115,spring,485000.0,393170.865279299,533500.0,48500.0
6844702690,98115,spring,476500.0,436856.5169769989,524150.00000000006,47650.00000000006
3226049267,98115,spring,289500.0,436856.5169769989,376350.0,86850.0
8924100111,98115,spring,699000.0,509665.93647316535,768900.0000000001,69900.00000000012
5101400934,98115,spring,450000.0,294878.14895947423,495000.00000000006,45000.00000000006
8924100372,98115,spring,1302000.0,1306929.0799561883,1692600.0,390600.0
3931900295,98115,spring,824500.0,950162.9244249726,1071850.0,247350.0
5652601425,98115,spring,595000.0,739015.6078860898,773500.0,178500.0
5101402312,98115,spring,485000.0,458699.34282584884,533500.0,48500.0
9212900100,98115,spring,425000.0,662565.717415115,552500.0,127500.0
3364900375,98115,spring,750000.0,589756.2979189485,825000.0000000001,75000.00000000012
3426049132,98115,spring,460000.0,436856.5169769989,506000.00000000006,46000.00000000006
8077100031,98115,spring,631000.0,607958.6527929901,694100.0,63100.0
